LJ033-0060|Marina Oswald testified that at that time, quote, My heart dropped.|Marina Oswald testified that at that time, quote, My heart dropped.
LJ034-0035|The position of this palmprint on the carton was parallel with the long axis of the box, and at right angles with the short axis;|The position of this palmprint on the carton was parallel with the long axis of the box, and at right angles with the short axis;
LJ034-0036|the bottom of the palm rested on the box.|the bottom of the palm rested on the box.
LJ034-0037|Someone sitting on the box facing the window would have his palm in this position if he placed his hand alongside his right hip.|Someone sitting on the box facing the window would have his palm in this position if he placed his hand alongside his right hip.
LJ034-0038|This print which had been cut out of the box was also forwarded to the FBI and Latona identified it as Oswald's right palmprint.|This print which had been cut out of the box was also forwarded to the FBI and Latona identified it as Oswald's right palmprint.
LJ034-0039|In Latona's opinion, quote,|In Latona's opinion, quote,
LJ034-0040|not too long, end quote, a time had elapsed between the time that the print was placed on the carton and the time that it had been developed by the Dallas police.|not too long, end quote, a time had elapsed between the time that the print was placed on the carton and the time that it had been developed by the Dallas police.
LJ034-0041|Although Bureau experiments had shown that 24 hours was a likely maximum time, Latona stated|Although Bureau experiments had shown that twenty-four hours was a likely maximum time, Latona stated
LJ034-0042|that he could only testify with certainty that the print was less than 3 days old.|that he could only testify with certainty that the print was less than three days old.
LJ034-0043|The print, therefore, could have been placed on the carton at any time within this period.|The print, therefore, could have been placed on the carton at any time within this period.
LJ034-0044|The freshness of this print could be estimated only because the Dallas police developed it through the use of powder.|The freshness of this print could be estimated only because the Dallas police developed it through the use of powder.
LJ034-0045|Since cartons absorb perspiration, powder can successfully develop a print on such material only within a limited time.|Since cartons absorb perspiration, powder can successfully develop a print on such material only within a limited time.
LJ034-0046|When the FBI in Washington received the cartons, the remaining prints, including Oswald's on the Rolling Readers carton,|When the FBI in Washington received the cartons, the remaining prints, including Oswald's on the Rolling Readers carton,
LJ034-0047|were developed by chemical processes.|were developed by chemical processes.
LJ034-0048|The freshness of prints developed in this manner cannot be estimated,|The freshness of prints developed in this manner cannot be estimated,
LJ034-0049|so no conclusions can be drawn as to whether these remaining prints preceded or followed the print developed in Dallas by powder.|so no conclusions can be drawn as to whether these remaining prints preceded or followed the print developed in Dallas by powder.
LJ034-0050|Most of the prints were found to have been placed on the cartons by an FBI clerk|Most of the prints were found to have been placed on the cartons by an FBI clerk
LJ034-0051|and a Dallas police officer after the cartons had been processed with powder by the Dallas Police.|and a Dallas police officer after the cartons had been processed with powder by the Dallas Police.
LJ034-0052|In his independent investigation, Arthur Mandella of the New York City Police Department|In his independent investigation, Arthur Mandella of the New York City Police Department
LJ034-0053|reached the same conclusion as Latona that the prints found on the cartons were those of Lee Harvey Oswald.|reached the same conclusion as Latona that the prints found on the cartons were those of Lee Harvey Oswald.
LJ034-0054|In addition, Mandella was of the opinion that the print taken from the carton on the floor|In addition, Mandella was of the opinion that the print taken from the carton on the floor
LJ034-0055|was probably made within a day or a day and a half of the examination on November 22.|was probably made within a day or a day and a half of the examination on November twenty-two.
LJ034-0056|Another expert with the FBI, Ronald G. Wittmus, conducted a separate examination and also agreed with Latona that the prints were Oswald's.|Another expert with the FBI, Ronald G. Wittmus, conducted a separate examination and also agreed with Latona that the prints were Oswald's.
LJ034-0057|In evaluating the significance of these fingerprint and palmprint identifications,|In evaluating the significance of these fingerprint and palmprint identifications,
LJ034-0058|the Commission considered the possibility that Oswald handled these cartons as part of his normal duties.|the Commission considered the possibility that Oswald handled these cartons as part of his normal duties.
LJ034-0059|Since other identifiable prints were developed on the cartons, the Commission requested that they be compared with the prints of the 12 warehouse employees|Since other identifiable prints were developed on the cartons, the Commission requested that they be compared with the prints of the twelve warehouse employees
LJ034-0060|who, like Oswald, might have handled the cartons. They were also compared with the prints of those law enforcement officials who might have handled the cartons.|who, like Oswald, might have handled the cartons. They were also compared with the prints of those law enforcement officials who might have handled the cartons.
LJ034-0061|The results of this investigation are fully discussed in chapter 6, page 249.|The results of this investigation are fully discussed in chapter six, page two forty-nine.
LJ034-0062|Although a person could handle a carton and not leave identifiable prints,|Although a person could handle a carton and not leave identifiable prints,
LJ034-0063|none of these employees except Oswald left identifiable prints on the cartons.|none of these employees except Oswald left identifiable prints on the cartons.
LJ034-0064|This finding, in addition to the freshness of one of the prints and the presence of Oswald's prints on two of the four cartons and the paper bag|This finding, in addition to the freshness of one of the prints and the presence of Oswald's prints on two of the four cartons and the paper bag
LJ034-0065|led the Commission to attach some probative value to the fingerprint and palmprint identifications in reaching the conclusion|led the Commission to attach some probative value to the fingerprint and palmprint identifications in reaching the conclusion
LJ034-0066|that Oswald was at the window from which the shots were fired, although the prints do not establish the exact time he was there.|that Oswald was at the window from which the shots were fired, although the prints do not establish the exact time he was there.
LJ034-0067|Oswald's Presence on Sixth Floor Approximately 35 Minutes Before the Assassination|Oswald's Presence on Sixth Floor Approximately thirty-five Minutes Before the Assassination
LJ034-0068|Additional testimony linking Oswald with the point from which the shots were fired|Additional testimony linking Oswald with the point from which the shots were fired
LJ034-0069|was provided by the testimony of Charles Givens, who was the last known employee to see Oswald inside the building prior to the assassination.|was provided by the testimony of Charles Givens, who was the last known employee to see Oswald inside the building prior to the assassination.
LJ034-0070|During the morning of November 22, Givens was working with the floor-laying crew in the southwest section of the sixth floor.|During the morning of November twenty-two, Givens was working with the floor-laying crew in the southwest section of the sixth floor.
LJ034-0071|At about 11:45 a.m. the floor-laying crew used both elevators to come down from the sixth floor.|At about eleven:forty-five a.m. the floor-laying crew used both elevators to come down from the sixth floor.
LJ034-0072|The employees raced the elevators to the first floor. Givens saw Oswald standing at the gate on the fifth floor as the elevator went by.|The employees raced the elevators to the first floor. Givens saw Oswald standing at the gate on the fifth floor as the elevator went by.
LJ034-0073|Givens testified that after reaching the first floor, quote,|Givens testified that after reaching the first floor, quote,
LJ034-0074|I discovered I left my cigarettes in my jacket pocket upstairs, and I took the elevator back upstairs to get my jacket with my cigarettes in it, end quote.|I discovered I left my cigarettes in my jacket pocket upstairs, and I took the elevator back upstairs to get my jacket with my cigarettes in it, end quote.
LJ034-0075|He saw Oswald, a clipboard in hand, walking from the southeast corner of the sixth floor toward the elevator.|He saw Oswald, a clipboard in hand, walking from the southeast corner of the sixth floor toward the elevator.
LJ034-0076|Givens said to Oswald, quote, Boy are you going downstairs? It's near lunch time, end quote.|Givens said to Oswald, quote, Boy are you going downstairs? It's near lunch time, end quote.
LJ034-0077|Oswald said, quote, No, sir. When you get downstairs, close the gate to the elevator, end quote.|Oswald said, quote, No, sir. When you get downstairs, close the gate to the elevator, end quote.
LJ034-0078|Oswald was referring to the west elevator which operates by pushbutton and only with the gate closed. Givens said, "Okay,"|Oswald was referring to the west elevator which operates by pushbutton and only with the gate closed. Givens said, "Okay,"
LJ034-0079|and rode down in the east elevator.|and rode down in the east elevator.
LJ034-0080|When he reached the first floor, the west elevator -- the one with the gate was not there.|When he reached the first floor, the west elevator -- the one with the gate was not there.
LJ034-0081|Givens thought this was about 11:55 a.m.|Givens thought this was about eleven:fifty-five a.m.
LJ034-0082|None of the Depository employees is known to have seen Oswald again until after the shooting.|None of the Depository employees is known to have seen Oswald again until after the shooting.
LJ034-0083|The significance of Givens' observation that Oswald was carrying his clipboard|The significance of Givens' observation that Oswald was carrying his clipboard
LJ034-0084|became apparent on December 2, 1963, when an employee, Frankie Kaiser,|became apparent on December two, nineteen sixty-three, when an employee, Frankie Kaiser,
LJ034-0085|found a clipboard hidden by book cartons in the northwest corner of the sixth floor at the west wall a few feet from where the rifle had been found.|found a clipboard hidden by book cartons in the northwest corner of the sixth floor at the west wall a few feet from where the rifle had been found.
LJ034-0086|This clipboard had been made by Kaiser and had his name on it.|This clipboard had been made by Kaiser and had his name on it.
LJ034-0087|Kaiser identified it as the clipboard which Oswald had appropriated from him when Oswald came to work at the Depository.|Kaiser identified it as the clipboard which Oswald had appropriated from him when Oswald came to work at the Depository.
LJ034-0088|Three invoices on this clipboard, each dated November 22, were for Scott-Foresman books, located on the first and sixth floors.|Three invoices on this clipboard, each dated November twenty-two, were for Scott-Foresman books, located on the first and sixth floors.
LJ034-0089|Oswald had not filled any of the three orders.|Oswald had not filled any of the three orders.
LJ034-0090|Eyewitness Identification of Assassin|Eyewitness Identification of Assassin
LJ034-0091|Howard L. Brennan was an eyewitness to the shooting. As indicated previously the Commission considered his testimony as probative|Howard L. Brennan was an eyewitness to the shooting. As indicated previously the Commission considered his testimony as probative
LJ034-0092|in reaching the conclusion that the shots came from the sixth floor, southeast corner window of the Depository Building.|in reaching the conclusion that the shots came from the sixth floor, southeast corner window of the Depository Building.
LJ034-0093|Brennan also testified that Lee Harvey Oswald,|Brennan also testified that Lee Harvey Oswald,
LJ034-0094|whom he viewed in a police lineup on the night of the assassination, was the man he saw fire the shots from the sixth-floor window of the Depository Building.|whom he viewed in a police lineup on the night of the assassination, was the man he saw fire the shots from the sixth-floor window of the Depository Building.
LJ034-0095|When the shots were fired, Brennan was in an excellent position to observe anyone in the window. He was sitting on a concrete wall|When the shots were fired, Brennan was in an excellent position to observe anyone in the window. He was sitting on a concrete wall
LJ034-0096|on the southwest corner of Elm and Houston Streets, looking north at the Depository Building which was directly in front of him.|on the southwest corner of Elm and Houston Streets, looking north at the Depository Building which was directly in front of him.
LJ034-0097|The window was approximately 120 feet away.|The window was approximately one hundred twenty feet away.
LJ034-0098|In the 6 to 8 minute period before the motorcade arrived, Brennan saw a man leave and return to the window, quote, a couple of times, end quote,|In the six to eight minute period before the motorcade arrived, Brennan saw a man leave and return to the window, quote, a couple of times, end quote,
LJ034-0099|After hearing the first shot, which he thought was a motorcycle backfire, Brennan glanced up at the window. He testified that, quote,|After hearing the first shot, which he thought was a motorcycle backfire, Brennan glanced up at the window. He testified that, quote,
LJ034-0100|this man I saw previously was aiming for his last shot. As it appeared to me he was standing up and resting against the left window sill, end quote.|this man I saw previously was aiming for his last shot. As it appeared to me he was standing up and resting against the left window sill, end quote.
LJ034-0101|Brennan saw the man fire the last shot and disappear from the window.|Brennan saw the man fire the last shot and disappear from the window.
LJ034-0102|Within minutes of the assassination, Brennan described the man to the police.|Within minutes of the assassination, Brennan described the man to the police.
LJ034-0103|This description most probably led to the radio alert sent to police cars at approximately 12:45 p.m., which described the suspect as white,|This description most probably led to the radio alert sent to police cars at approximately twelve:forty-five p.m., which described the suspect as white,
LJ034-0104|slender, weighing about one sixty-five pounds, about 5 foot 10 inches tall, and in his early thirties.|slender, weighing about one sixty-five pounds, about five foot ten inches tall, and in his early thirties.
LJ034-0105|In his sworn statement to the police later that day,|In his sworn statement to the police later that day,
LJ034-0106|Brennan described the man in similar terms, except that he gave the weight as between 165 and 175 pounds and the height was omitted.|Brennan described the man in similar terms, except that he gave the weight as between one hundred sixty-five and one hundred seventy-five pounds and the height was omitted.
LJ034-0107|In his testimony before the Commission, Brennan described the person he saw as, quote,|In his testimony before the Commission, Brennan described the person he saw as, quote,
LJ034-0108|man in his early thirties, fair complexion, slender, but neat, neat slender, possible 5 foot 10|man in his early thirties, fair complexion, slender, but neat, neat slender, possible five foot ten
LJ034-0109|one-sixty to one-seventy pounds.|one-sixty to one-seventy pounds.
LJ034-0110|Oswald was 5 foot 9 inches, slender and 24 years old.|Oswald was five foot nine inches, slender and twenty-four years old.
LJ034-0111|When arrested, he gave his weight as 140 pounds. On other occasions he gave weights of both 140 and 150 pounds.|When arrested, he gave his weight as one hundred forty pounds. On other occasions he gave weights of both one hundred forty and one hundred fifty pounds.
LJ034-0112|The New Orleans police records of his arrest in August of 1963 show a weight of 136 pounds.|The New Orleans police records of his arrest in August of nineteen sixty-three show a weight of one hundred thirty-six pounds.
LJ034-0113|The autopsy report indicated an estimated weight of 150 pounds.|The autopsy report indicated an estimated weight of one hundred fifty pounds.
LJ034-0114|Brennan's description should also be compared with the eyewitness description broadcast over the Dallas police radio at 1:22 p.m.|Brennan's description should also be compared with the eyewitness description broadcast over the Dallas police radio at one:twenty-two p.m.
LJ034-0115|of the man who shot Patrolman J. D. Tippit.|of the man who shot Patrolman J. D. Tippit.
LJ034-0116|The suspect was described as, quote, a white male about 30, 5 foot 8, black hair, slender, end quote.|The suspect was described as, quote, a white male about thirty, five foot eight, black hair, slender, end quote.
LJ034-0117|At 1:29 p.m. the police radio reported|At one:twenty-nine p.m. the police radio reported
LJ034-0118|that the description of the suspect in the Tippit shooting was similar to the description which had been given by Brennan in connection with the assassination.|that the description of the suspect in the Tippit shooting was similar to the description which had been given by Brennan in connection with the assassination.
LJ034-0119|Approximately 7 or 8 minutes later|Approximately seven or eight minutes later
LJ034-0120|the police radio reported that, quote, an eyeball witness, end quote, described the suspect in the Tippit shooting as, quote, a white male,|the police radio reported that, quote, an eyeball witness, end quote, described the suspect in the Tippit shooting as, quote, a white male,
LJ034-0121|27, 5 foot 11, 165 pounds, black wavy hair, end quote,|twenty-seven, five foot eleven, one hundred sixty-five pounds, black wavy hair, end quote,
LJ034-0122|As will be discussed fully below, the Commission has concluded that this suspect was Lee Harvey Oswald.|As will be discussed fully below, the Commission has concluded that this suspect was Lee Harvey Oswald.
LJ034-0123|Although Brennan testified that the man in the window was standing when he fired the shots, most probably he was either sitting or kneeling.|Although Brennan testified that the man in the window was standing when he fired the shots, most probably he was either sitting or kneeling.
LJ034-0124|The half-open window, the arrangement of the boxes, and the angle of the shots virtually preclude a standing position.|The half-open window, the arrangement of the boxes, and the angle of the shots virtually preclude a standing position.
LJ034-0125|It is understandable, however, for Brennan to have believed that the man with the rifle was standing. A photograph of the building taken seconds after the assassination|It is understandable, however, for Brennan to have believed that the man with the rifle was standing. A photograph of the building taken seconds after the assassination
LJ034-0126|shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.|shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.
LJ034-0127|Brennan testified that they were standing, which is their apparent position in the photograph.|Brennan testified that they were standing, which is their apparent position in the photograph.
LJ034-0128|But the testimony of these employees, together with photographs subsequently taken of them at the scene of the assassination,|But the testimony of these employees, together with photographs subsequently taken of them at the scene of the assassination,
LJ034-0129|establishes that they were either squatting or kneeling.|establishes that they were either squatting or kneeling.
LJ034-0130|Since the window ledges in the Depository Building are lower than in most buildings,|Since the window ledges in the Depository Building are lower than in most buildings,
LJ034-0131|a person squatting or kneeling exposes more of his body than would normally be the case.|a person squatting or kneeling exposes more of his body than would normally be the case.
LJ034-0132|From the street, this creates the impression that the person is standing.|From the street, this creates the impression that the person is standing.
LJ034-0133|Brennan could have seen enough of the body of a kneeling or squatting person to estimate his height.|Brennan could have seen enough of the body of a kneeling or squatting person to estimate his height.
LJ034-0134|Shortly after the assassination Brennan noticed|Shortly after the assassination Brennan noticed
LJ034-0135|two of these employees leaving the building and immediately identified them as having been in the fifth-floor windows.|two of these employees leaving the building and immediately identified them as having been in the fifth-floor windows.
LJ034-0136|When the three employees appeared before the Commission, Brennan identified the two whom he saw leave the building.|When the three employees appeared before the Commission, Brennan identified the two whom he saw leave the building.
LJ034-0137|The two men, Harold Norman and James Jarman, Jr., each confirmed that when they came out of the building,|The two men, Harold Norman and James Jarman, Jr., each confirmed that when they came out of the building,
LJ034-0138|they saw and heard Brennan describing what he had seen.|they saw and heard Brennan describing what he had seen.
LJ034-0140|Jarman heard Brennan, quote, talking to this officer about that he had heard these shots and he had seen the barrel of the gun sticking out the window,|Jarman heard Brennan, quote, talking to this officer about that he had heard these shots and he had seen the barrel of the gun sticking out the window,
LJ034-0141|and he said that the shots came from inside the building, end quote.|and he said that the shots came from inside the building, end quote.
LJ034-0142|During the evening of November 22, Brennan identified Oswald as the person in the lineup who bore the closest resemblance to the man in the window|During the evening of November twenty-two, Brennan identified Oswald as the person in the lineup who bore the closest resemblance to the man in the window
LJ034-0143|but he said he was unable to make a positive identification.|but he said he was unable to make a positive identification.
LJ034-0144|Prior to the lineup,|Prior to the lineup,
LJ034-0145|Brennan had seen Oswald's picture on television, and he told the Commission that whether this affected his identification, quote, is something I do not know.|Brennan had seen Oswald's picture on television, and he told the Commission that whether this affected his identification, quote, is something I do not know.
LJ034-0146|In an interview with FBI agents on December 17, 1963,|In an interview with FBI agents on December seventeen, nineteen sixty-three,
LJ034-0147|Brennan stated that he was sure that the person firing the rifle was Oswald.|Brennan stated that he was sure that the person firing the rifle was Oswald.
LJ034-0148|In another interview with FBI agents on January 7, 1964,|In another interview with FBI agents on January seven, nineteen sixty-four,
LJ034-0149|Brennan appeared to revert to his earlier inability to make a positive identification,|Brennan appeared to revert to his earlier inability to make a positive identification,
LJ034-0150|but, in his testimony before the Commission, Brennan stated that his remarks of January 7 were intended by him merely as an accurate report|but, in his testimony before the Commission, Brennan stated that his remarks of January seven were intended by him merely as an accurate report
LJ034-0151|of what he said on November 22.|of what he said on November twenty-two.
LJ034-0152|Brennan told the Commission that he could have made a positive identification in the lineup on November 22|Brennan told the Commission that he could have made a positive identification in the lineup on November twenty-two
LJ034-0153|but did not do so because he felt that the assassination was, quote, a Communist activity,|but did not do so because he felt that the assassination was, quote, a Communist activity,
LJ034-0154|and I felt like there hadn't been more than one eyewitness, and if it got to be a known fact that I was an eyewitness, my family or I, either one, might not be safe.|and I felt like there hadn't been more than one eyewitness, and if it got to be a known fact that I was an eyewitness, my family or I, either one, might not be safe.
LJ034-0155|When specifically asked before the Commission|When specifically asked before the Commission
LJ034-0156|whether or not he could positively identify the man he saw in the sixth-floor window as the same man he saw in the police station,|whether or not he could positively identify the man he saw in the sixth-floor window as the same man he saw in the police station,
LJ034-0157|Brennan stated, quote, I could at that time -- I could, with all sincerity, identify him as being the same man, end quote.|Brennan stated, quote, I could at that time -- I could, with all sincerity, identify him as being the same man, end quote.
LJ034-0158|Although the record indicates that Brennan was an accurate observer, he declined to make a positive identification of Oswald when he first saw him in the police lineup.|Although the record indicates that Brennan was an accurate observer, he declined to make a positive identification of Oswald when he first saw him in the police lineup.
LJ034-0159|The Commission, therefore, does not base its conclusion concerning the identity of the assassin|The Commission, therefore, does not base its conclusion concerning the identity of the assassin
LJ034-0160|on Brennan's subsequent certain identification of Lee Harvey Oswald as the man he saw fire the rifle.|on Brennan's subsequent certain identification of Lee Harvey Oswald as the man he saw fire the rifle.
LJ034-0161|Immediately after the assassination, however,|Immediately after the assassination, however,
LJ034-0162|Brennan described to the police the man he saw in the window and then identified Oswald as the person who most nearly resembled the man he saw.|Brennan described to the police the man he saw in the window and then identified Oswald as the person who most nearly resembled the man he saw.
LJ034-0163|The Commission is satisfied that, at the least,|The Commission is satisfied that, at the least,
LJ034-0164|Brennan saw a man in the window who closely resembled Lee Harvey Oswald, and that Brennan believes the man he saw was in fact|Brennan saw a man in the window who closely resembled Lee Harvey Oswald, and that Brennan believes the man he saw was in fact
LJ034-0165|Lee Harvey Oswald.|Lee Harvey Oswald.
LJ034-0166|Two other witnesses were able to offer partial descriptions of a man they saw in the southeast corner window|Two other witnesses were able to offer partial descriptions of a man they saw in the southeast corner window
LJ034-0167|of the sixth floor approximately 1 minute before the assassination, although neither witness saw the shots being fired.|of the sixth floor approximately one minute before the assassination, although neither witness saw the shots being fired.
LJ034-0168|Ronald Fischer and Robert Edwards were standing on the curb at the southwest corner of Elm and Houston Streets,|Ronald Fischer and Robert Edwards were standing on the curb at the southwest corner of Elm and Houston Streets,
LJ034-0169|the same corner where Brennan was sitting on a concrete wall.|the same corner where Brennan was sitting on a concrete wall.
LJ034-0170|Fischer testified that about 10 or 15 seconds before the motorcade turned onto Houston Street from Main Street,|Fischer testified that about ten or fifteen seconds before the motorcade turned onto Houston Street from Main Street,
LJ034-0171|Edwards said, quote, Look at that guy there in that window, end quote,|Edwards said, quote, Look at that guy there in that window, end quote,
LJ034-0172|Fischer looked up and watched the man in the window for 10 or 15 seconds and then started watching the motorcade, which came into view on Houston Street.|Fischer looked up and watched the man in the window for ten or fifteen seconds and then started watching the motorcade, which came into view on Houston Street.
LJ034-0173|He said that the man held his attention until the motorcade came because the man, quote,|He said that the man held his attention until the motorcade came because the man, quote,
LJ034-0174|appeared uncomfortable for one, and secondly, he wasn't watching. he didn't look like he was watching for the parade.|appeared uncomfortable for one, and secondly, he wasn't watching. he didn't look like he was watching for the parade.
LJ034-0175|He looked like he was looking down toward the Trinity River and the Triple Underpass down at the end -- toward the end of Elm Street. And|He looked like he was looking down toward the Trinity River and the Triple Underpass down at the end -- toward the end of Elm Street. And
LJ034-0176|all the time I watched him, he never moved his head, he never -- he never moved anything. Just was there transfixed.|all the time I watched him, he never moved his head, he never -- he never moved anything. Just was there transfixed.
LJ034-0177|Fischer placed the man in the easternmost window on the south side of the Depository Building on either the fifth or the sixth floor.|Fischer placed the man in the easternmost window on the south side of the Depository Building on either the fifth or the sixth floor.
LJ034-0178|He said that he could see the man from the middle of his chest to the top of his head, and that as he was facing the window the man was in the lower right-hand portion of the window|He said that he could see the man from the middle of his chest to the top of his head, and that as he was facing the window the man was in the lower right-hand portion of the window
LJ034-0179|and, quote, seemed to be sitting a little forward, end quote,|and, quote, seemed to be sitting a little forward, end quote,
LJ034-0180|The man was dressed in a light-colored, open-neck shirt which could have been either a sports shirt or a T-shirt,|The man was dressed in a light-colored, open-neck shirt which could have been either a sports shirt or a T-shirt,
LJ034-0181|and he had brown hair, a slender face and neck with light complexion, and looked to be 22 or 24 years old.|and he had brown hair, a slender face and neck with light complexion, and looked to be twenty-two or twenty-four years old.
LJ034-0182|The person in the window was a white man and, quote, looked to me like he was looking straight at the Triple Underpass, end quote, down Elm Street.|The person in the window was a white man and, quote, looked to me like he was looking straight at the Triple Underpass, end quote, down Elm Street.
LJ034-0183|Boxes and cases were stacked behind him.|Boxes and cases were stacked behind him.
LJ034-0184|Approximately 1 week after the assassination, according to Fisher, policemen showed him a picture of Oswald.|Approximately one week after the assassination, according to Fisher, policemen showed him a picture of Oswald.
LJ034-0185|In his testimony he said, quote, I told them that that could have been the man.|In his testimony he said, quote, I told them that that could have been the man.
LJ034-0186|That that could have been the man that I saw in the window in the School Book Depository Building, but that I was not sure, end quote.|That that could have been the man that I saw in the window in the School Book Depository Building, but that I was not sure, end quote.
LJ034-0187|Fischer described the man's hair as some shade of brown, quote, it wasn't dark, and it wasn't light, end quote.|Fischer described the man's hair as some shade of brown, quote, it wasn't dark, and it wasn't light, end quote.
LJ034-0188|On November 22, Fischer had apparently described the man as, quote, light-headed, end quote.|On November twenty-two, Fischer had apparently described the man as, quote, light-headed, end quote.
LJ034-0189|Fischer explained that he did not mean by the earlier statement that the man was blond, but rather that his hair was not black.|Fischer explained that he did not mean by the earlier statement that the man was blond, but rather that his hair was not black.
LJ034-0190|Robert Edwards said that, while looking at the south side of the Depository Building shortly before the motorcade,|Robert Edwards said that, while looking at the south side of the Depository Building shortly before the motorcade,
LJ034-0191|he saw nothing of importance, quote, except maybe one individual who was up there in the corner room of the sixth floor which was crowded in among boxes, end quote.|he saw nothing of importance, quote, except maybe one individual who was up there in the corner room of the sixth floor which was crowded in among boxes, end quote.
LJ034-0192|He said that this was a white man about average in size, quote, possibly thin, end quote, and that he thought the man had light-brown hair.|He said that this was a white man about average in size, quote, possibly thin, end quote, and that he thought the man had light-brown hair.
LJ034-0193|Fischer and Edwards did not see the man clearly enough or long enough to identify him.|Fischer and Edwards did not see the man clearly enough or long enough to identify him.
LJ034-0194|Their testimony is of probative value, however, because their limited description is consistent with that of the man who has been found by the Commission,|Their testimony is of probative value, however, because their limited description is consistent with that of the man who has been found by the Commission,
LJ034-0195|based on other evidence, to have fired the shots from the window.|based on other evidence, to have fired the shots from the window.
LJ034-0196|Another person who saw the assassin as the shots were fired was Amos L. Euins, age 15,|Another person who saw the assassin as the shots were fired was Amos L. Euins, age fifteen,
LJ034-0197|who was one of the first witnesses to alert the police to the Depository as the source of the shots, as has been discussed in chapter 3.|who was one of the first witnesses to alert the police to the Depository as the source of the shots, as has been discussed in chapter three.
LJ034-0198|Euins, who was on the southwest corner of Elm and Houston Streets testified that he could not describe the man he saw in the window.|Euins, who was on the southwest corner of Elm and Houston Streets testified that he could not describe the man he saw in the window.
LJ034-0199|According to Euins, however, as the man lowered his head in order to aim the rifle down Elm Street, he appeared to have a white bald spot, on his head.|According to Euins, however, as the man lowered his head in order to aim the rifle down Elm Street, he appeared to have a white bald spot, on his head.
LJ034-0200|Shortly after the assassination, Euins signed an affidavit describing the man as "white,"|Shortly after the assassination, Euins signed an affidavit describing the man as "white,"
LJ034-0201|but a radio reporter testified that Euins described the man to him as, quote, colored, end quote.|but a radio reporter testified that Euins described the man to him as, quote, colored, end quote.
LJ034-0202|In his Commission testimony|In his Commission testimony
LJ034-0203|Euins stated that he could not ascertain the man's race and that the statement in the affidavit was intended to refer only to the white spot on the man's head|Euins stated that he could not ascertain the man's race and that the statement in the affidavit was intended to refer only to the white spot on the man's head
LJ034-0204|and not to his race.|and not to his race.
LJ034-0205|A Secret Service agent who spoke to Euins approximately 20 to 30 minutes after the assassination|A Secret Service agent who spoke to Euins approximately twenty to thirty minutes after the assassination
LJ034-0206|confirmed that Euins could neither describe the man in the window nor indicate his race.|confirmed that Euins could neither describe the man in the window nor indicate his race.
LJ034-0207|Accordingly, Euins' testimony is considered probative as to the source of the shots but is inconclusive as to the identity of the man in the window.|Accordingly, Euins' testimony is considered probative as to the source of the shots but is inconclusive as to the identity of the man in the window.
LJ034-0208|In evaluating the evidence that Oswald was at the southeast corner window of the sixth floor at the time of the shooting,|In evaluating the evidence that Oswald was at the southeast corner window of the sixth floor at the time of the shooting,
LJ034-0209|the Commission has considered the allegation that Oswald was photographed standing in front of the building when the shots were fired.|the Commission has considered the allegation that Oswald was photographed standing in front of the building when the shots were fired.
LJ034-0210|The picture which gave rise to these allegations was taken by Associated Press Photographer James W. Altgens,|The picture which gave rise to these allegations was taken by Associated Press Photographer James W. Altgens,
LJ034-0211|who was standing on the south side of Elm Street between the Triple Underpass and the Depository Building.|who was standing on the south side of Elm Street between the Triple Underpass and the Depository Building.
LJ034-0212|As the motorcade started its descent down Elm Street., Altgens snapped a picture of the Presidential limousine with the entrance to the Depository Building in the background.|As the motorcade started its descent down Elm Street., Altgens snapped a picture of the Presidential limousine with the entrance to the Depository Building in the background.
LJ034-0213|Just before snapping the picture Altgens heard a noise which sounded like the popping of a firecracker.|Just before snapping the picture Altgens heard a noise which sounded like the popping of a firecracker.
LJ034-0214|Investigation has established that Altgens' picture was taken approximately 2 seconds after the firing of the shot|Investigation has established that Altgens' picture was taken approximately two seconds after the firing of the shot
LJ034-0215|which entered the back of the President's neck.|which entered the back of the President's neck.
LJ034-0216|In the background of this picture were several employees watching the parade from the steps of the Depository Building.|In the background of this picture were several employees watching the parade from the steps of the Depository Building.
LJ034-0217|One of these employees was alleged to resemble Lee Harvey Oswald.|One of these employees was alleged to resemble Lee Harvey Oswald.
LJ034-0218|The Commission has determined that the employee was in fact Billy Lovelady, who identified himself in the picture.|The Commission has determined that the employee was in fact Billy Lovelady, who identified himself in the picture.
LJ034-0219|Standing alongside him were Buell Wesley Frazier and William Shelley, who also identified Lovelady.|Standing alongside him were Buell Wesley Frazier and William Shelley, who also identified Lovelady.
LJ035-0001|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.
LJ035-0002|Chapter 4. The Assassin: Part 4. Oswald's Actions in Building After Assassination.|Chapter four. The Assassin: Part four. Oswald's Actions in Building After Assassination.
LJ035-0003|In considering whether Oswald was at the southeast corner window at the time the shots were fired,|In considering whether Oswald was at the southeast corner window at the time the shots were fired,
LJ035-0004|the Commission has reviewed the testimony of witnesses who saw Oswald in the building within minutes after the assassination.|the Commission has reviewed the testimony of witnesses who saw Oswald in the building within minutes after the assassination.
LJ035-0005|The Commission has found that Oswald's movements, as described by these witnesses,|The Commission has found that Oswald's movements, as described by these witnesses,
